"Prediction","Acer_freemanii","Acer_glabra","Acer_grandidentatum","Acer_negundo","Acer_pilosum","Acer_platanoides","Acer_saccharinum","Acer_saccharum","Acer_sieboldianum","Acer_tataricum","Acer_ukurunduense","Aesculus_hippocastanum","Aesculus_x hybride","Alnus_glutinosa","Alnus_incana","Ambrosia_artemisiifolia","Amelanchier_canadensis","Amelanchier_laevis","Betula_alleghaniensis","Betula_nigra","Betula_papyrifera","Betula_pendula","Betula_populifolia","Carpinus_caroliniana","Carya_cordiformis","Carya_glabra","Carya_ovata","Celtis_occidentalis","Corylus_avellana","Corylus_colurna","Corylus_cornuta","Cupressaceae_","Elaeagnus_angustifolia","Fagus_grandifolia","Fraxinus_americana","Fraxinus_nigra","Fraxinus_pennsylvannica","Ginkgo_biloba","Juglans_cinera","Juglans_nigra","Juniperus_chinensis","Juniperus_communis","Ligustrum_vulgare","Malus_baccata","Malus_pumila","Ostrya_virginiana","Picea_abies","Pinus_banksiana","Pinus_nigra","Pinus_parviflora","Pinus_ponderosa","Pinus_resinosa","Pinus_thunbergii","Populus_spp","Prunus_padus","Prunus_serrulata","Prunus_virginiana","Pyrus_calleryana ""chantecler""","Pyrus_ussuriensis","Quercus_alba","Quercus_bicolor","Quercus_macrocarpa","Quercus_palustris","Quercus_robur","Quercus_rubra","Robinia_pseudoacacia","Salix_cinerea","Salix_gracilistyla","Salix_nigra","Salix_udensis","Sorbus_intermedia","Syringa_reticulata","Syringa_villosa","Syringa_vulgaris","Syringa_x chinensis","Syringa_x prestoniae","Taxus_canadensis","Taxus_cuspidata","Taxus_x media","Tilia_americana","Tilia_cordata","Ulmus_americana","Ulmus_bergmanianna","Ulmus_glabra","Ulmus_minor","Ulmus_propinqua","Ulmus_pumila"
"Acer_freemanii",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_glabra",0,2169,0,0,0,1,0,0,0,6,1,2,20,0,0,0,0,0,0,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,2,0,0,0,0,0,2,0,0,70,0,5,0,0,1,10,10,0,1,4,5,0,0,0,1,0,0,0,1,2,0,0,7,2,0,1,0,0,1,0,0,0
"Acer_grandidentatum",8,0,890,0,0,0,2,8,1,1,33,0,0,0,0,0,1,2,0,0,2,0,0,0,0,5,20,0,0,2,0,0,4,4,0,0,8,2,0,2,1,0,0,1,0,1,0,0,0,2,0,4,0,0,0,8,0,1,1,3,0,2,1,2,4,0,0,0,0,0,0,0,5,2,6,0,0,0,1,0,1,0,0,0,0,0,0
"Acer_negundo",0,0,0,3947,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,14,0,2,4,11
"Acer_pilosum",2,0,0,0,2500,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,3,1,1,0,0,0,0,0,2,1,1,0,4,0,1,0,1,7,0,0,0,0,0,2,0,1,0,0,0,2,0,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,1,4,1,1,3,0,0,1,1,2,0,1,2,1,1
"Acer_platanoides",0,0,0,1,0,658,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
"Acer_saccharinum",9,0,21,0,19,4,1191,3,0,2,13,0,0,0,0,0,0,5,2,0,2,0,0,1,0,3,73,0,0,0,1,0,3,0,0,0,2,1,0,1,3,0,3,0,0,29,2,2,1,1,0,6,0,0,1,3,0,1,7,2,0,2,0,5,11,0,0,0,4,0,1,3,10,0,9,56,0,0,1,0,6,0,0,8,0,0,0
"Acer_saccharum",0,0,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
"Acer_sieboldianum",5,0,12,0,5,0,1,0,2646,2,58,0,0,0,0,0,1,2,1,0,0,0,1,0,0,3,1,0,0,0,0,0,17,3,6,1,12,2,0,1,2,2,0,7,0,1,0,0,1,4,0,2,0,0,3,13,0,0,11,3,1,1,3,1,15,1,0,0,1,1,10,0,7,1,4,1,0,0,1,2,0,0,0,0,0,0,0
"Acer_tataricum",0,1,0,0,9,0,0,0,1,516,2,0,1,0,0,0,6,6,5,2,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,1,0,1,0,1,5,0,6,6,0,0,0,4,0,1,0,6,1,2,0,0,0,0,2,3,0,0,25,0,0,0
"Acer_ukurunduense",2,1,28,0,2,1,1,1,11,8,766,0,2,0,0,0,0,1,1,2,11,0,3,0,0,0,6,1,1,8,1,0,4,10,3,2,39,6,0,1,1,0,0,0,0,3,0,0,1,5,0,3,0,0,0,3,0,0,1,16,1,5,5,3,30,2,0,0,5,0,0,0,4,1,2,2,2,2,4,0,2,0,0,0,0,0,0
"Aesculus_hippocastanum",0,0,0,0,0,0,0,0,0,0,6,2139,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,0,2,0,0,46,0,0,0,13,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,2,1,4,3,0,0,0,0,3,0,0,0,0,0,0,2,11,13,0,0,0,0,0,0,0,0
"Aesculus_x hybride",0,29,0,0,0,0,1,0,0,3,1,3,2225,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,0,0,11,0,1,2,0,1,3,0,0,0,0,0,0,2,0,1,1,0,0,4,1,2,0,0,6,0,0,0
"Alnus_glutinosa",0,0,0,0,0,0,0,0,0,0,0,0,0,6301,0,0,0,0,2,0,0,58,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,3,0,0,0,0,1,0,5,0,19,1,6,0,0,0,1,0,0,0,0,1,0,0,0
"Alnus_incana",0,0,0,4,0,1,0,0,0,0,0,0,0,0,8310,0,1,0,0,0,0,0,1,1,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,8,4,0,1,4,10
"Ambrosia_artemisiifolia",0,0,0,1,0,0,0,0,6,0,1,0,1,0,0,9045,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,3,7,0,0,2,3,10,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0
"Amelanchier_canadensis",0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,361,10,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0
"Amelanchier_laevis",0,0,4,0,1,0,1,0,0,2,2,0,0,0,0,0,15,791,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,1,0,2,2,0,0,0,0,1,2,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0
"Betula_alleghaniensis",2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1356,1,6,9,0,0,0,1,8,0,0,6,0,0,0,0,0,1,0,0,1,13,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,4,0,0,3,2,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0
"Betula_nigra",0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,920,17,0,60,8,0,0,3,0,1,49,1,4,1,9,0,9,24,0,0,1,2,0,0,0,0,3,1,0,0,4,0,11,0,0,0,0,1,0,0,4,1,3,6,8,6,2,0,0,1,0,0,0,1,0,0,0,2,15,2,0,0,0,0,0,0,0,0
"Betula_papyrifera",0,1,0,0,0,0,0,0,2,2,1,1,1,3,0,0,1,1,20,18,991,15,10,9,0,0,9,1,0,38,0,0,0,2,8,2,11,8,1,12,2,0,0,1,0,5,1,0,0,1,0,5,0,0,1,9,0,1,0,12,0,7,38,24,7,0,0,0,12,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1
"Betula_pendula",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,6,0,0,359,2,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betula_populifolia",0,5,0,0,0,0,0,0,5,0,5,0,0,8,4,3,0,0,7,84,31,22,4672,8,0,0,0,0,2,11,8,4,0,6,0,7,20,2,0,0,8,1,0,0,0,13,1,0,0,0,0,7,1,1,3,0,0,0,0,57,12,2,9,44,19,0,0,0,20,1,1,0,1,0,0,2,11,24,10,0,0,1,0,0,1,0,1
"Carpinus_caroliniana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,216,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,9,0,0,0,0,0,0,9,0,2,1,0,0,0,0,0,0,0,0
"Carya_cordiformis",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2736,0,7,0,0,0,0,0,2,24,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,14,0,0,0,0,0,0,2,0,0,1,0,0,0
"Carya_glabra",0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,12,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,2,4,42,2,15,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Carya_ovata",11,0,19,0,8,1,6,14,0,1,6,2,3,1,0,1,1,6,11,3,4,0,1,2,1,23,1296,0,0,9,0,0,10,11,1,0,8,5,3,32,19,0,1,3,0,21,7,13,3,27,0,23,2,0,0,6,0,3,0,13,2,20,15,24,14,0,0,0,12,0,8,1,39,2,9,3,0,0,2,0,4,0,0,2,1,0,1
"Celtis_occidentalis",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corylus_avellana",0,1,0,1,0,0,0,1,0,0,0,0,0,1,24,0,0,0,0,0,0,1,0,0,0,0,2,0,2013,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,23,8,1,9,1,0,0,0,0,2,0,0,0,1,0,7,3,0,9,13,22
"Corylus_colurna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,27,27,1,7,2,0,0,7,0,2,435,0,0,1,3,3,2,18,1,0,1,0,0,0,0,0,7,0,0,0,2,0,3,0,0,0,0,0,2,0,2,1,0,23,8,15,1,0,0,2,0,1,0,6,0,0,0,1,1,0,0,1,0,0,0,0,0,2
"Corylus_cornuta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,301,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Cupressaceae_",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3179,0,1,0,4,0,1,0,0,7,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,91,0,0,0,5,0,0,0,0,0,0,0,0,23,28,0,0,0,0,0,0,0,0
"Elaeagnus_angustifolia",5,0,0,0,0,0,0,1,5,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,808,7,1,0,0,0,1,1,4,0,1,2,0,1,2,3,6,5,0,4,0,0,1,1,0,1,3,1,0,1,2,0,5,5,0,0,1,0,3,1,12,2,0,0,0,0,0,0,5,0,0,1,0,0,0
"Fagus_grandifolia",4,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,1,2,2,2,0,1,0,2,0,2,0,0,1,0,0,0,241,0,0,0,1,0,0,4,1,0,1,0,0,0,0,4,4,2,6,1,0,0,1,0,0,0,1,1,1,0,1,9,0,0,0,2,0,0,1,8,5,3,1,0,0,0,3,0,0,0,2,0,0,0
"Fraxinus_americana",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2,1,0,0,0,747,4,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,2,0,8,25,1,5,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0
"Fraxinus_nigra",0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,4,1,1,8,5,0,0,0,0,0,1,0,1,0,3,3,445,4,4,0,0,5,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,8,0,0,1,11,9,1,0,0,34,0,1,0,2,0,0,0,6,10,5,0,0,0,0,0,0,0,0
"Fraxinus_pennsylvannica",0,3,2,0,1,0,7,0,1,11,22,42,19,0,0,1,3,2,5,15,16,0,0,0,0,0,4,4,0,29,0,0,0,5,12,9,1806,4,0,3,4,0,0,3,0,8,1,0,2,5,0,2,0,0,2,1,6,4,1,9,3,10,12,5,20,0,0,0,2,1,4,0,40,2,2,2,0,3,2,0,4,0,0,8,0,0,0
"Ginkgo_biloba",0,1,0,0,0,0,2,0,0,7,0,1,3,0,0,2,1,3,3,4,13,1,5,1,0,0,2,1,0,1,0,0,0,1,3,1,6,2868,0,1,1,1,0,0,0,60,0,0,0,0,0,0,0,0,1,1,0,0,1,7,48,6,5,87,8,0,0,0,12,0,2,0,23,0,40,1,0,0,4,0,0,0,0,0,0,0,0
"Juglans_cinera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
